fid,DN,Area km2
687,"14",0.001
688,"14",0.001
689,"243",0.001
690,"14",0.001
691,"243",0.001
692,"243",0.001
693,"14",0.004
694,"14",0.001
695,"243",0.001
696,"243",0.001
697,"243",0.002
698,"77",0.001
699,"243",0.001
700,"172",0.002
701,"243",0.001
702,"243",0.002
703,"243",0.001
704,"243",0.001
705,"243",0.001
706,"243",0.001
707,"14",0.001
708,"243",0.002
709,"14",0.001
710,"243",0.001
711,"243",0.001
712,"218",0.066
713,"243",0.001
714,"243",0.005
715,"14",0.001
716,"243",0.003
717,"218",0.001
718,"243",0.001
719,"243",0.001
720,"243",0.001
721,"14",0.001
722,"243",0.001
723,"243",0.001
724,"14",0.001
725,"243",0.001
726,"243",0.002
727,"243",0.008
728,"14",0.002
729,"243",0.001
730,"243",0.001
731,"14",0.020
732,"218",0.002
733,"172",0.001
734,"14",0.001
735,"243",0.001
736,"243",0.006
737,"243",0.001
738,"243",0.001
739,"243",0.001
740,"243",0.001
741,"243",0.001
742,"14",0.001
743,"243",0.001
744,"218",0.003
745,"14",0.001
746,"243",0.001
747,"14",0.001
748,"218",0.840
749,"14",0.003
750,"243",0.001
751,"218",0.004
752,"243",0.001
753,"243",0.003
754,"218",0.001
755,"243",0.001
756,"243",0.001
757,"243",0.001
758,"243",0.001
759,"218",0.001
760,"243",0.001
761,"243",0.001
762,"243",0.001
763,"243",0.001
764,"14",0.006
765,"243",0.003
766,"218",0.001
767,"14",0.001
768,"218",0.001
769,"218",0.001
770,"243",0.001
771,"14",0.001
772,"218",0.007
773,"218",0.015
774,"243",0.001
775,"243",0.003
776,"243",0.001
777,"218",0.001
778,"172",0.001
779,"243",0.001
780,"218",0.005
781,"243",0.004
782,"243",0.016
783,"243",0.001
784,"14",1.268
785,"243",0.001
