fid,DN,Area km2
627,"243",0.011
628,"243",0.002
629,"243",0.011
630,"243",0.001
631,"243",0.001
632,"243",0.001
633,"243",0.002
634,"243",0.001
635,"243",0.001
636,"243",0.001
637,"218",0.001
638,"243",0.001
639,"172",0.001
640,"218",0.002
641,"243",0.001
642,"243",0.001
643,"243",0.002
644,"218",0.003
645,"218",0.001
646,"243",0.002
647,"243",0.001
648,"14",0.003
649,"243",0.001
650,"243",0.004
651,"243",0.002
652,"218",0.001
653,"243",0.001
654,"14",0.001
655,"243",0.001
656,"14",0.004
657,"172",0.006
658,"243",0.004
659,"14",0.011
660,"243",0.001
661,"243",0.002
662,"218",0.002
663,"218",0.001
664,"243",0.003
665,"218",0.001
666,"14",0.001
667,"218",0.006
668,"243",0.001
669,"243",0.001
670,"243",0.001
671,"218",0.001
672,"243",0.001
673,"243",0.001
674,"243",0.001
675,"243",0.001
676,"218",0.001
677,"218",0.001
678,"218",0.028
679,"172",0.004
680,"243",0.003
681,"218",0.001
682,"243",0.002
683,"243",0.001
684,"172",0.001
685,"243",0.004
686,"243",0.005
687,"243",0.001
688,"14",4.085
689,"243",0.001
690,"243",0.001
