fid,DN,Area km2
791,"14",0.001
792,"218",0.001
793,"243",0.001
794,"14",0.007
795,"243",0.014
796,"243",0.004
797,"243",0.001
798,"172",0.001
799,"218",0.001
800,"243",0.002
801,"243",0.001
802,"14",0.001
803,"14",0.001
804,"218",0.001
805,"243",0.001
806,"172",0.001
807,"14",0.001
808,"14",0.002
809,"243",0.001
810,"14",0.001
811,"243",0.001
812,"243",0.005
813,"243",0.001
814,"14",0.001
815,"243",0.001
816,"218",0.004
817,"14",0.091
818,"218",0.006
819,"243",0.002
820,"218",0.054
821,"243",0.002
822,"14",0.002
823,"14",0.010
824,"243",0.001
825,"172",0.002
826,"243",0.001
827,"243",0.001
828,"14",0.003
829,"172",0.227
830,"14",0.005
831,"14",0.001
832,"14",0.051
833,"172",0.001
834,"218",0.001
835,"14",0.001
836,"14",0.001
837,"14",0.001
838,"243",0.001
839,"243",0.004
840,"14",0.001
841,"14",0.001
842,"14",0.001
843,"172",0.002
844,"14",0.002
845,"14",0.001
846,"218",0.002
847,"172",0.001
848,"172",0.054
849,"14",0.002
850,"218",0.002
851,"243",0.001
852,"14",0.001
853,"172",0.001
854,"172",0.001
855,"243",0.010
856,"14",0.004
857,"243",0.001
858,"218",0.001
859,"243",0.001
860,"243",0.001
861,"14",0.001
862,"14",0.002
863,"14",0.018
864,"14",0.001
865,"243",0.001
866,"14",0.001
867,"243",0.001
868,"14",0.001
869,"172",0.001
870,"172",0.001
871,"218",0.003
872,"14",0.001
873,"14",0.001
874,"243",0.001
875,"14",0.001
876,"243",0.011
877,"14",0.001
878,"14",0.003
879,"243",0.001
880,"243",0.001
881,"14",0.001
882,"14",0.002
883,"243",0.001
884,"243",0.002
885,"172",0.008
886,"243",0.001
887,"243",0.006
888,"14",0.003
889,"14",0.001
890,"14",0.004
891,"243",0.003
892,"14",0.023
893,"218",0.002
894,"172",0.004
895,"14",0.001
896,"243",0.001
897,"14",0.002
898,"243",0.001
899,"172",0.001
900,"218",0.003
901,"14",0.006
902,"14",0.001
903,"243",0.001
904,"14",0.101
905,"14",0.003
906,"77",0.001
907,"243",0.001
908,"243",0.001
909,"243",0.001
910,"243",0.001
911,"243",0.001
912,"14",0.007
913,"243",0.001
914,"172",0.337
915,"243",0.001
916,"243",0.002
917,"243",0.002
918,"243",0.002
919,"243",0.001
920,"14",0.001
921,"14",0.002
922,"243",0.001
923,"243",0.001
924,"172",0.002
925,"243",0.001
926,"14",0.001
927,"243",0.001
928,"243",0.001
929,"243",0.001
930,"172",0.001
931,"243",0.002
932,"243",0.001
933,"243",0.001
934,"218",0.001
935,"243",0.001
