fid,DN,Area km2
630,"218",0.002
631,"243",0.012
632,"243",0.001
633,"243",0.001
634,"14",0.001
635,"14",0.001
636,"243",0.001
637,"243",0.003
638,"243",0.014
639,"14",0.001
640,"243",0.002
641,"243",0.001
642,"243",0.002
643,"243",0.008
644,"172",0.045
645,"243",0.002
646,"14",0.007
647,"14",0.001
648,"218",0.011
649,"243",0.001
650,"243",0.001
651,"218",0.002
652,"243",0.004
653,"14",0.001
654,"243",0.007
655,"172",0.001
656,"243",0.001
657,"243",0.005
658,"243",0.002
659,"243",0.001
660,"243",0.001
661,"243",0.002
662,"218",0.001
663,"243",0.001
664,"243",0.001
665,"243",0.001
666,"243",0.003
667,"172",0.001
668,"14",0.001
669,"14",0.001
670,"218",0.003
671,"243",0.001
672,"243",0.001
673,"218",0.001
674,"243",0.001
675,"14",0.002
676,"14",0.001
677,"243",0.001
678,"243",0.001
679,"14",0.001
680,"14",0.003
681,"172",0.006
682,"243",0.002
683,"243",0.001
684,"243",0.001
685,"172",0.001
686,"172",0.001
687,"14",0.004
688,"14",0.001
689,"14",0.001
690,"172",0.001
691,"218",0.001
692,"218",0.001
693,"172",0.001
694,"243",0.001
695,"243",0.002
696,"243",0.011
697,"172",0.001
698,"218",0.001
699,"243",0.016
700,"218",0.001
701,"243",0.002
702,"14",0.001
703,"218",0.001
704,"243",0.001
705,"14",0.022
706,"14",0.001
707,"243",0.013
708,"218",0.001
709,"243",0.025
710,"243",0.001
711,"243",0.006
712,"243",0.001
713,"243",0.004
714,"218",0.001
715,"218",0.001
716,"243",0.001
717,"172",0.001
718,"218",0.003
719,"243",0.002
720,"172",0.001
721,"218",0.001
722,"172",0.004
723,"243",0.003
724,"172",0.001
725,"243",0.015
726,"243",0.001
727,"243",0.001
728,"243",0.026
729,"14",0.004
730,"243",0.001
731,"218",0.001
732,"243",0.002
733,"243",0.001
734,"243",0.001
735,"243",0.002
736,"218",0.001
737,"243",0.001
738,"243",0.013
739,"243",0.001
740,"243",0.001
741,"218",0.001
742,"14",0.001
743,"172",0.001
744,"243",0.001
745,"218",0.001
746,"243",0.002
747,"218",0.001
748,"14",0.001
749,"243",0.003
750,"243",0.002
751,"172",0.001
752,"172",0.001
753,"243",0.019
754,"14",0.001
755,"14",0.001
756,"218",0.001
757,"218",0.001
758,"243",0.002
759,"243",0.001
760,"218",0.001
761,"218",0.001
762,"243",0.006
763,"243",0.001
764,"14",0.001
765,"243",0.001
766,"243",0.001
767,"14",0.001
768,"14",0.004
769,"243",0.001
770,"172",0.001
771,"218",0.001
772,"243",0.001
773,"243",0.001
774,"243",0.001
775,"243",0.006
776,"14",0.001
777,"243",0.001
778,"243",0.001
779,"172",0.001
780,"172",0.950
781,"172",0.003
782,"14",3.686
