fid,DN,Area in km2
"252","14",0.000624999994467944
"253","243",0.000625000002233312
"254","243",0.00624999999948032
"255","243",0.000624999993680045
"256","218",0.000624999999849126
"257","243",0.000625000000940636
"258","172",0.023125003062306
"259","243",0.0081250000157766
"260","218",0.0362499983112905
"261","243",0.00125000000181049
"262","14",0.0018750002708938
"263","14",0.00124999999995157
"264","172",0.00125000000041723
"265","243",0.00187499999668635
"266","218",0.00187499987901561
"267","243",0.00187500000314415
"268","218",0.000625000002333894
"269","218",0.00125000000137836
"270","14",0.00437500127803162
"271","14",0.00250000002385862
"272","243",0.000624999991087243
"273","172",0.00124999999256432
"274","243",0.000625000003034249
"275","218",0.00124999999540672
"276","218",0.00500000043817051
"277","243",0.0012499999961108
"278","243",0.000625000000488013
"279","14",0.000625000000745058
"280","243",0.000625000001175329
"281","14",0.000625000003300607
"282","243",0.016874999740079
"283","243",0.00062500000340119
"284","172",0.00124999999996275
"285","172",0.000625000006236136
"286","243",0.000625000005077571
"287","218",0.000625000000389293
"288","243",0.000625000005768612
"289","243",0.000625000003371388
"290","243",0.00312500067919679
"291","243",0.00125000000421703
"292","14",0.00125000000642799
"293","243",0.000624999997273087
"294","243",0.00749999959207326
"295","218",0.000625000004531816
"296","172",0.000624999994441867
"297","172",0.00187499972765334
"298","172",0.000624999999428168
"299","14",0.00062499999986589
"300","243",0.000624999999586493
"301","218",0.000624999993447214
"302","14",0.0137499997543134
"303","243",0.000625000002706423
"304","218",0.00312499957893416
"305","14",0.000624999995524064
"306","14",0.00124999998906627
"307","243",0.0012500000032261
"308","243",0.00499999987370521
"309","14",0.000625000004857779
"310","218",0.00124999999710172
"311","172",0.00375000211217813
"312","14",0.000625000001810491
"313","243",0.00124999999523908
"314","14",0.000624999992545694
"315","218",0.00312499956726842
"316","218",0.000625000001600012
"317","243",0.000624999998126179
"318","243",0.000625000003242865
"319","218",0.013124999975482
"320","243",0.000624999997032806
"321","14",0.00562499986354634
"322","14",0.00562500025507808
"323","243",0.00187499987448752
"324","243",0.000624999999864027
"325","14",0.00312500180971436
"326","243",0.00124999999812059
"327","243",0.000624999992966652
"328","243",0.000624999998852611
"329","243",0.000624999993724749
"330","172",0.000624999998066574
"331","243",0.00125000000069663
"332","243",0.00250000067948177
"333","172",0.000625000000935048
"334","14",0.000624999995995313
"335","14",0.000624999998830259
"336","243",0.000624999999651685
"337","243",0.000624999996451661
"338","172",0.000624999999038875
"339","243",0.000625000001175329
"340","243",0.00062500000182353
"341","243",0.00249999998831004
"342","243",0.000624999999072403
"343","218",0.00812499817964062
"344","218",0.0193749997009989
"345","218",0.00187499971841462
"346","243",0.000624999990699813
"347","14",0.000625000004265457
"348","243",0.00062499999916926
"349","172",0.00124999999540858
"350","14",0.000625000011947006
"351","14",0.000624999999282882
"352","243",0.000624999997960404
"353","14",0.000625000001192093
"354","218",0.00812500143948197
"355","14",0.00124999999974109
"356","218",0.000624999996297061
"357","243",0.000624999993795529
"358","243",0.000625000000521541
"359","243",0.000624999996837229
"360","172",0.00062500000199303
"361","243",0.00374999863702804
"362","243",0.0012500000131391
"363","243",0.000624999993473291
"364","243",0.000625000004224479
"365","243",0.000625000001413748
"366","243",0.000625000002665445
"367","243",0.000625000003052875
"368","14",0.000624999996125698
"369","243",0.0118750001333896
"370","243",0.000624999999009073
"371","243",0.000624999997967854
"372","14",0.0024999999937322
"373","243",0.000625000001057982
"374","14",0.0018750002832748
"375","218",0.000625000003285706
"376","14",0.00062500000385195
"377","243",0.00312500028062053
"378","243",0.000624999998332933
"379","14",0.000624999998964369
"380","243",0.00125000000803918
"381","243",0.000625000005938113
"382","243",0.000625000005403534
"383","172",0.000625000000296161
"384","14",0.000625000001747161
"385","14",0.000624999998833984
"386","243",0.00124999999457784
"387","218",0.0181250030718744
"388","243",0.00124999999234825
"389","243",0.000625000002849847
"390","243",0.000624999999981374
"391","172",0.000625000007925555
"392","243",0.00124999999803118
"393","243",0.00125000000386313
"394","14",0.00187500027703121
"395","218",0.217500020542579
"396","243",0.00124999999045208
"397","243",0.000625000001223758
"398","14",0.011249999711046
"399","172",0.0156250002691597
"400","172",0.00187500000431389
"401","243",0.00250000042194687
"402","14",0.000624999995166436
"403","218",0.000624999997572973
"404","243",0.000624999997772276
"405","243",0.00124999999559671
"406","243",0.00249999999506027
"407","14",0.000625000005718321
"408","243",0.00250000000567734
"409","14",0.000624999999534339
"410","243",0.000624999997071922
"411","218",0.000624999995285645
"412","243",0.000624999993264675
"413","243",0.00187500013227016
"414","243",0.000624999990040436
"415","243",0.000625000000501052
"416","243",0.000624999998617917
"417","218",0.000625000003974885
"418","243",0.00437500065237284
"419","243",0.00437500081092305
"420","243",0.00500000029734708
"421","243",0.00187499999082834
"422","14",0.000625000009056181
"423","218",0.000624999994659796
"424","243",0.00625000013484806
"425","243",0.000625000002592802
"426","243",0.00187499973598495
"427","243",0.00312500028121471
"428","243",0.0018750000026226
"429","243",0.00125000000461377
