fid,DN,Area in km2
"263","243",0.000625000003024936
"264","218",0.00124999999278784
"265","243",0.000625000006364658
"266","243",0.00062499999753572
"267","218",0.00999999930713139
"268","218",0.008750001014404
"269","14",0.00125000000570342
"270","172",0.00312499974198453
"271","243",0.000625000002171844
"272","243",0.000624999999720603
"273","243",0.000625000004801899
"274","218",0.00124999999616854
"275","243",0.0100000008027889
"276","243",0.0012500000102967
"277","243",0.00624999946220778
"278","243",0.00749999957254343
"279","243",0.000625000005789101
"280","14",0.00062500000475347
"281","218",0.00187499986607395
"282","243",0.000625000008841977
"283","218",0.00125000000599772
"284","14",0.00062500000100024
"285","218",0.0012500000053905
"286","218",0.000625000003442168
"287","218",0.00312500053970329
"288","14",0.000624999998170882
"289","243",0.00062499999541603
"290","243",0.000625000006889924
"291","243",0.000624999997308478
"292","243",0.00312500040773489
"293","172",0.00500000208323821
"294","172",0.000625000000925735
"295","218",0.000624999999150634
"296","14",0.000624999995857477
"297","14",0.00062499999281764
"298","172",0.000624999998344108
"299","243",0.000624999999811873
"300","218",0.000625000007940456
"301","243",0.000624999994998798
"302","243",0.000625000001983717
"303","243",0.000625000001678243
"304","243",0.00687499972262792
"305","14",0.000625000006470829
"306","14",0.00124999999990873
"307","172",0.0212500004156586
"308","172",0.0343749995445237
"309","243",0.00374999972796999
"310","14",0.0037500006653443
"311","243",0.011874999875227
"312","243",0.00187500027510151
"313","218",0.00812499997499585
"314","14",0.711249995473912
"315","243",0.00124999999176338
"316","218",0.00687500082521886
"317","172",0.00250000000233948
"318","172",0.00125000000244007
"319","218",0.00250000000168011
"320","243",0.00187499987076782
"321","172",0.00062500000164099
"322","243",0.000625000003902242
"323","243",0.00062499999852106
"324","243",0.000624999993950129
"325","243",0.00062500000086613
"326","243",0.000625000001152977
"327","218",0.00124999999969825
"328","218",0.0231250036064629
"329","243",0.000624999995684251
"330","243",0.000624999996980652
"331","218",0.00500000011575222
"332","243",0.00125000000468455
"333","243",0.00187500027010217
"334","243",0.000624999998921528
"335","243",0.000624999994061887
"336","218",0.00124999999699183
