Roost,Roost size,Latitude,Longitude,Level,Distance ,Position,Region,Installation date,Installation time(end),Approach n,Approach start,Approach end,Approach date,Approach type,Solving time,Species,Roost of origin,Video reference,Notes
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,8,08:16:18,08:16:55,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0083,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,9,09:05:13,09:06:11,20230703,Attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0084,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,10,09:06:26,09:06:33,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0084,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,11,09:06:53,09:10:29,20230703,Attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0085 to 87,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,12,09:06:53,09:10:29,20230703,Attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0085 to 87,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,13,09:10:42,09:10:49,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0087,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,14,09:10:49,09:11:46,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0088,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,1,10:40:02,10:40:06,20230703,Presence,NA,Manorina chiassosa,,CorroboreePark/Level1/110723/0089,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,15,17:18:55,17:19:49,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0090,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,16,17:21:26,17:21:44,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0091,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,17,17:22:45,17:22:50,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0091,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,18,17:23:02,17:26:00,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0092 to 93,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,19,17:26:36,17:28:28,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0094 to 95,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,20,17:32:40,17:33:35,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0096,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,21,17:34:44,17:37:06,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0098,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,22,17:37:39,17:37:49,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0098,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,23,17:38:21,17:39:05,20230703,Attempt,NA,Cacatua galerita,LY,CorroboreePark/Level1/110723/0099,"Marked bird, VGM"
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,24,08:29:08,08:30:37,20230704,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00100,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,1,14:12:26,14:12:32,20230704,Presence,NA,Alisterus scapularis (female),,CorroboreePark/Level1/110723/00102,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,2,14:13:43,14:14:05,20230704,Attempt,NA,Alisterus scapularis (female),,CorroboreePark/Level1/110723/00102,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,3,14:14:37,14:14:41,20230704,Attempt,NA,Alisterus scapularis (female),,CorroboreePark/Level1/110723/00103,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,25,17:03:55,17:04:31,20230704,Attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00104,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,26,17:06:20,17:07:49,20230704,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00105,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,27,17:08:38,17:09:30,20230704,Attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00106,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,28,17:10:44,17:18:57,20230704,Solving,17:13:16,Cacatua galerita,,CorroboreePark/Level1/110723/00107 to 111,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,29,16:59:17,17:00:44,20230705,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00112,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,30,17:02:35,17:02:36,20230705,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00113,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,31,17:03:12,17:07:18,20230705,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00113,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,32,17:07:39,17:08:45,20230705,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00114 to 115,
